Config Number,t2,a,w2,t3,w1,t1,Mass (kg),Max Von Mises Stress (MPa),Max Displacement (mm)
226,32,108,240,60,120,40,375.808 kg,4.17775 MPa,0.0290487 mm
227,32,108,240,60,120,50,395.968 kg,3.85862 MPa,0.0249447 mm
228,32,108,240,60,120,60,416.128 kg,3.57495 MPa,0.0216805 mm
229,32,108,240,60,150,40,395.968 kg,3.72387 MPa,0.0261924 mm
230,32,108,240,60,150,50,421.168 kg,3.6745 MPa,0.0223325 mm
231,32,108,240,60,150,60,446.368 kg,4.82494 MPa,0.0194188 mm
232,32,108,240,60,180,40,416.128 kg,3.14618 MPa,0.0240224 mm
233,32,108,240,60,180,50,446.368 kg,2.59236 MPa,0.0204508 mm
234,32,108,240,60,180,60,476.608 kg,3.23485 MPa,0.0177055 mm
235,32,108,240,72,120,40,424.192 kg,3.55609 MPa,0.0252155 mm
236,32,108,240,72,120,50,444.352 kg,2.72755 MPa,0.0216445 mm
237,32,108,240,72,120,60,464.512 kg,3.26832 MPa,0.0189596 mm
238,32,108,240,72,150,40,444.352 kg,3.85033 MPa,0.0227594 mm
239,32,108,240,72,150,50,469.552 kg,2.43422 MPa,0.0194608 mm
240,32,108,240,72,150,60,494.752 kg,2.38469 MPa,0.0169782 mm
241,32,108,240,72,180,40,464.512 kg,2.74755 MPa,0.020865 mm
242,32,108,240,72,180,50,494.752 kg,2.55258 MPa,0.0178934 mm
243,32,108,240,72,180,60,524.992 kg,2.31181 MPa,0.0155798 mm
244,40,72,160,48,120,40,254.839 kg,9.40733 MPa,0.059983 mm
245,40,72,160,48,120,50,274.999 kg,6.62749 MPa,0.0497509 mm
246,40,72,160,48,120,60,295.159 kg,8.17956 MPa,0.0421205 mm
247,40,72,160,48,150,40,274.999 kg,7.3827 MPa,0.0535778 mm
248,40,72,160,48,150,50,300.199 kg,5.76436 MPa,0.0442506 mm
249,40,72,160,48,150,60,325.399 kg,7.04482 MPa,0.037374 mm
250,40,72,160,48,180,40,295.159 kg,9.08398 MPa,0.0491419 mm
251,40,72,160,48,180,50,325.399 kg,7.44452 MPa,0.0404803 mm
252,40,72,160,48,180,60,355.639 kg,6.59903 MPa,0.0339709 mm
253,40,72,160,60,120,40,287.095 kg,5.74237 MPa,0.0495551 mm
254,40,72,160,60,120,50,307.255 kg,4.97082 MPa,0.0412961 mm
255,40,72,160,60,120,60,327.415 kg,4.64081 MPa,0.0349188 mm
256,40,72,160,60,150,40,307.255 kg,5.76617 MPa,0.0442523 mm
257,40,72,160,60,150,50,332.455 kg,4.62215 MPa,0.0367767 mm
258,40,72,160,60,150,60,357.655 kg,4.3282 MPa,0.0310231 mm
259,40,72,160,60,180,40,327.415 kg,4.99593 MPa,0.0404333 mm
260,40,72,160,60,180,50,357.655 kg,4.40719 MPa,0.0334943 mm
261,40,72,160,60,180,60,387.895 kg,4.45192 MPa,0.0282765 mm
262,40,72,160,72,120,40,319.351 kg,5.95207 MPa,0.0409 mm
263,40,72,160,72,120,50,339.511 kg,5.01962 MPa,0.0344966 mm
264,40,72,160,72,120,60,359.671 kg,4.59905 MPa,0.0295272 mm
265,40,72,160,72,150,40,339.511 kg,5.1474 MPa,0.0367375 mm
266,40,72,160,72,150,50,364.711 kg,4.64774 MPa,0.0307697 mm
267,40,72,160,72,150,60,389.911 kg,4.2414 MPa,0.0262347 mm
268,40,72,160,72,180,40,359.671 kg,4.84423 MPa,0.0336372 mm
269,40,72,160,72,180,50,389.911 kg,4.3593 MPa,0.028078 mm
270,40,72,160,72,180,60,420.151 kg,3.96138 MPa,0.0239074 mm
271,40,72,200,48,120,40,286.293 kg,13.7804 MPa,0.05652 mm
272,40,72,200,48,120,50,306.453 kg,12.3697 MPa,0.0469513 mm
273,40,72,200,48,120,60,326.613 kg,10.1739 MPa,0.0396138 mm
274,40,72,200,48,150,40,306.453 kg,13.3502 MPa,0.0504673 mm
275,40,72,200,48,150,50,331.653 kg,11.1991 MPa,0.0417444 mm
276,40,72,200,48,150,60,356.853 kg,9.29454 MPa,0.035149 mm
277,40,72,200,48,180,40,326.613 kg,11.368 MPa,0.0461373 mm
278,40,72,200,48,180,50,356.853 kg,9.5988 MPa,0.0380069 mm
279,40,72,200,48,180,60,387.093 kg,8.12699 MPa,0.0319502 mm
280,40,72,200,60,120,40,326.613 kg,6.78036 MPa,0.0462409 mm
281,40,72,200,60,120,50,346.773 kg,6.16524 MPa,0.0387335 mm
282,40,72,200,60,120,60,366.933 kg,5.57365 MPa,0.0330883 mm
283,40,72,200,60,150,40,346.773 kg,6.15368 MPa,0.0414779 mm
284,40,72,200,60,150,50,371.973 kg,5.7104 MPa,0.0345311 mm
285,40,72,200,60,150,60,397.173 kg,4.95568 MPa,0.0292554 mm
286,40,72,200,60,180,40,366.933 kg,4.37217 MPa,0.0380321 mm
287,40,72,200,60,180,50,397.173 kg,4.56751 MPa,0.0315684 mm
288,40,72,200,60,180,60,427.413 kg,3.56444 MPa,0.026792 mm
289,40,72,200,72,120,40,366.933 kg,4.89434 MPa,0.0385527 mm
290,40,72,200,72,120,50,387.093 kg,4.41259 MPa,0.0325963 mm
291,40,72,200,72,120,60,407.253 kg,4.00461 MPa,0.028007 mm
292,40,72,200,72,150,40,387.093 kg,4.57573 MPa,0.0345578 mm
293,40,72,200,72,150,50,412.293 kg,4.09035 MPa,0.029047 mm
294,40,72,200,72,150,60,437.493 kg,3.69144 MPa,0.0248684 mm
295,40,72,200,72,180,40,407.253 kg,4.30482 MPa,0.0316545 mm
296,40,72,200,72,180,50,437.493 kg,3.83293 MPa,0.0264979 mm
297,40,72,200,72,180,60,467.733 kg,3.45757 MPa,0.0226426 mm
298,40,72,240,48,120,40,317.747 kg,6.7132 MPa,0.0488274 mm
299,40,72,240,48,120,50,337.907 kg,7.50301 MPa,0.0402596 mm
300,40,72,240,48,120,60,358.067 kg,7.04154 MPa,0.0338429 mm
301,40,72,240,48,150,40,337.907 kg,6.42982 MPa,0.0428665 mm
302,40,72,240,48,150,50,363.107 kg,6.93578 MPa,0.0357945 mm
303,40,72,240,48,150,60,388.307 kg,5.20848 MPa,0.0299495 mm
304,40,72,240,48,180,40,358.067 kg,6.5159 MPa,0.0392883 mm
305,40,72,240,48,180,50,388.307 kg,5.82445 MPa,0.0314372 mm
306,40,72,240,48,180,60,418.547 kg,5.42927 MPa,0.0270536 mm
307,40,72,240,60,120,40,366.131 kg,4.58271 MPa,0.0414243 mm
308,40,72,240,60,120,50,386.291 kg,4.21691 MPa,0.0348394 mm
309,40,72,240,60,120,60,406.451 kg,4.04835 MPa,0.0297449 mm
310,40,72,240,60,150,40,386.291 kg,4.3182 MPa,0.0371897 mm
311,40,72,240,60,150,50,411.491 kg,4.05858 MPa,0.031076 mm
312,40,72,240,60,150,60,436.691 kg,3.89491 MPa,0.0265199 mm
313,40,72,240,60,180,40,406.451 kg,4.00889 MPa,0.0339536 mm
314,40,72,240,60,180,50,436.691 kg,3.59605 MPa,0.0283189 mm
315,40,72,240,60,180,60,466.931 kg,3.54895 MPa,0.0241229 mm
316,40,72,240,72,120,40,414.515 kg,4.00081 MPa,0.0345473 mm
